objective_id,domain,domain_weight_pct,service,objective,trigger,correct,why,distractors
SAA-001,Security,30,IAM,Use temporary credentials for EC2 workloads,application on EC2 needs AWS access without stored keys,Attach an IAM role through an EC2 instance profile,The instance receives automatically rotated temporary credentials.,Store IAM user keys in environment variables | Embed credentials in application code | Make the target resource public
SAA-002,Security,30,IAM,Grant cross-account access,principal in another AWS account needs controlled access,Create a role with a trust policy and grant the external principal permission to assume it,Cross-account access requires both a trusting role and permission to assume it.,Share an IAM user access key | Use a security group referencing the other account | Create identical users in both accounts
SAA-003,Security,30,IAM,Apply least privilege,workload needs only a small set of actions on specific resources,Use a scoped identity policy with only required actions and resource ARNs,Least privilege limits blast radius and unintended access.,Attach AdministratorAccess | Use the root user for the workload | Grant wildcard actions and rely on application checks
SAA-004,Security,30,IAM,Enforce permissions across an organization,member accounts must not exceed central guardrails,Apply an AWS Organizations service control policy,SCPs define the maximum available permissions for member accounts.,Use security groups in each account | Create an IAM group in the management account | Use an S3 bucket ACL
SAA-005,Security,30,IAM,Provide workforce SSO,employees need centralized access to multiple AWS accounts,Use IAM Identity Center with permission sets,Identity Center centralizes workforce authentication and account access.,Create long-term IAM users in every account | Share the root credentials | Use Cognito user pools for console administrators
SAA-006,Security,30,KMS,Control encryption keys for S3,company must control and revoke permissions to the encryption key,Use SSE-KMS with a customer managed KMS key,"A customer managed key provides policy, grant, audit, and revocation control.",Use SSE-S3 only | Use client-side base64 encoding | Make the bucket private without encryption
SAA-007,Security,30,KMS,Allow a service to use a KMS key,AWS service is denied while encrypting on behalf of an application,Update the KMS key policy or create an appropriate grant,KMS authorization must allow the principal or service to use the key.,Open the resource security group | Add a route to the KMS public endpoint | Disable encryption
SAA-008,Security,30,KMS,Reduce S3 KMS request cost,high-volume SSE-KMS S3 workload generates many KMS requests,Enable S3 Bucket Keys,S3 Bucket Keys reduce calls from S3 to KMS while retaining SSE-KMS.,Rotate the key every day | Use a larger KMS key | Enable S3 Transfer Acceleration
SAA-009,Security,30,KMS,Encrypt EBS by default,all newly created EBS volumes in a region must be encrypted,Enable EBS encryption by default and specify a KMS key,The account-level regional setting automatically encrypts new volumes.,Encrypt only AMI names | Use a network ACL | Enable detailed monitoring
SAA-010,Security,30,KMS,Rotate application secrets safely,database password must rotate without changing application code,Store the credential in Secrets Manager and configure rotation,Secrets Manager can rotate supported secrets and applications can retrieve the current value.,Put the password in EC2 user data | Use a fixed SecureString parameter without rotation | Bake the password into an AMI
SAA-011,Security,30,S3 Security,Keep an S3 origin private behind CloudFront,users must not bypass CloudFront and access S3 directly,Use CloudFront Origin Access Control and an S3 bucket policy,OAC signs origin requests and the bucket policy can allow only the distribution.,Enable S3 static website hosting publicly | Use only an S3 ACL | Add an internet gateway to the bucket
SAA-012,Security,30,S3 Security,Block accidental public access,organization must prevent public S3 policies and ACLs,Enable S3 Block Public Access at the account and bucket levels,Block Public Access overrides public ACL and policy configurations.,Rely only on object names being hard to guess | Use versioning | Enable Transfer Acceleration
